Tempo(s),PWM_Aplicado(%),RPM_M1_Raw,RPM_M1_Filt
3.7350,40,205.13,195.99
3.7400,40,179.49,196.27
3.7450,40,205.13,196.13
3.7500,40,205.13,196.26
3.7550,40,179.49,196.53
3.7600,40,205.13,196.37
3.7650,40,205.13,196.45
3.7700,40,179.49,196.69
3.7750,40,205.13,196.49
3.7800,40,205.13,196.54
3.7850,40,179.49,196.75
3.7900,40,205.13,196.52
3.7950,40,205.13,196.56
3.8000,40,179.49,196.75
3.8050,40,205.13,196.52
3.8100,40,205.13,196.55
3.8150,40,205.13,197.25
3.8200,40,179.49,197.83
3.8250,40,205.13,197.75
3.8300,40,205.13,197.78
3.8350,40,205.13,198.39
3.8400,40,179.49,198.80
3.8450,40,205.13,198.55
3.8500,40,205.13,198.40
3.8550,40,205.13,198.84
3.8600,40,179.49,199.12
3.8650,40,205.13,198.75
3.8700,40,205.13,198.51
3.8750,40,205.13,198.89
3.8800,40,205.13,199.63
3.8850,40,179.49,200.03
3.8900,40,205.13,199.67
3.8950,40,205.13,199.36
3.9000,40,205.13,199.63
3.9050,40,205.13,200.24
3.9100,40,179.49,200.51
3.9150,40,205.13,200.02
3.9200,40,205.13,199.61
3.9250,40,205.13,199.78
3.9300,40,179.49,199.81
3.9350,40,205.13,199.23
3.9400,40,205.13,198.81
3.9450,40,205.13,199.05
3.9500,40,205.13,199.69
3.9550,40,205.13,200.54
3.9600,40,179.49,200.94
3.9650,40,205.13,200.50
3.9700,40,205.13,200.08
3.9750,40,205.13,200.21
3.9800,40,205.13,200.69
3.9850,40,179.49,200.84
3.9900,40,205.13,200.25
3.9950,40,205.13,199.75
4.0000,40,205.13,199.86
4.0050,40,205.13,200.36
4.0100,40,179.49,200.54
4.0150,40,205.13,200.00
4.0200,40,205.13,199.55
4.0250,40,205.13,199.71
4.0300,40,179.49,199.73
4.0350,40,205.13,199.15
4.0400,40,205.13,198.74
4.0450,40,205.13,198.99
4.0500,40,205.13,199.65
4.0550,40,205.13,200.51
4.0600,40,179.49,200.91
4.0650,40,205.13,200.48
4.0700,40,205.13,200.07
4.0750,40,205.13,200.21
4.0800,40,179.49,200.18
4.0850,40,205.13,199.52
4.0900,40,205.13,199.04
4.0950,40,205.13,199.22
4.1000,40,205.13,199.81
4.1050,40,205.13,200.62
4.1100,40,179.49,200.98
4.1150,40,205.13,200.52
4.1200,40,205.13,200.08
4.1250,40,205.13,200.20
4.1300,40,179.49,200.16
4.1350,40,205.13,199.50
4.1400,40,205.13,199.02
4.1450,40,205.13,199.20
4.1500,40,205.13,199.79
4.1550,40,205.13,200.60
4.1600,40,205.13,201.48
4.1650,40,179.49,201.83
4.1700,40,205.13,201.28
4.1750,40,205.13,200.73
4.1800,40,205.13,200.72
4.1850,40,205.13,201.08
4.1900,40,205.13,201.63
4.1950,40,179.49,201.75
4.2000,40,205.13,201.07
4.2050,40,205.13,200.44
4.2100,40,205.13,200.42
4.2150,40,205.13,200.78
4.2200,40,205.13,201.36
4.2250,40,205.13,202.04
4.2300,40,205.13,202.72
4.2350,40,205.13,203.35
4.2400,40,179.49,203.38
4.2450,40,205.13,202.51
4.2500,40,205.13,201.65
4.2550,40,205.13,201.38
4.2600,40,205.13,201.50
4.2650,40,205.13,201.88
4.2700,40,179.49,201.86
4.2750,40,205.13,201.08
4.2800,40,205.13,200.39
4.2850,40,205.13,200.33
4.2900,40,205.13,200.68
4.2950,40,205.13,201.26
4.3000,40,205.13,201.94
4.3050,40,205.13,202.63
4.3100,40,179.49,202.76
4.3150,40,205.13,202.01
4.3200,40,205.13,201.26
4.3250,40,205.13,201.09
4.3300,40,205.13,201.30
4.3350,40,205.13,201.75
4.3400,40,179.49,201.79
4.3450,40,205.13,201.06
4.3500,40,205.13,200.40
4.3550,40,205.13,200.36
4.3600,40,205.13,200.71
4.3650,40,205.13,201.29
4.3700,40,179.49,201.46
4.3750,40,205.13,200.83
4.3800,40,205.13,200.26
4.3850,40,205.13,200.28
4.3900,40,205.13,200.69
4.3950,40,179.49,200.79
4.4000,40,205.13,200.17
4.4050,40,205.13,199.66
4.4100,40,205.13,199.77
4.4150,40,205.13,200.27
4.4200,40,205.13,200.98
4.4250,40,205.13,201.77
4.4300,40,179.49,202.03
4.4350,40,205.13,201.42
4.4400,40,205.13,200.81
4.4450,40,205.13,200.76
4.4500,40,205.13,201.09
4.4550,40,205.13,201.62
4.4600,40,205.13,202.24
4.4650,40,179.49,202.36
4.4700,40,205.13,201.62
4.4750,40,205.13,200.92
4.4800,40,205.13,200.81
4.4850,40,205.13,201.08
4.4900,40,205.13,201.58
4.4950,40,205.13,202.19
4.5000,40,205.13,202.81
4.5050,40,205.13,203.40
4.5100,40,205.13,203.92
4.5150,40,179.49,203.83
4.5200,40,205.13,202.85
4.5250,40,205.13,201.89
4.5300,40,205.13,201.53
4.5350,40,205.13,201.59
4.5400,40,205.13,201.91
4.5450,40,179.49,201.86
4.5500,40,205.13,201.07
4.5550,40,205.13,200.36
4.5600,40,205.13,200.30
4.5650,40,205.13,200.64
4.5700,40,205.13,201.22
4.5750,40,205.13,201.91
4.5800,40,205.13,202.61
4.5850,40,205.13,203.26
4.5900,40,179.49,203.31
4.5950,40,205.13,202.46
