Tempo(s),PWM_Aplicado(%),RPM_M1,RPM_M1_Filt
2.9150,78,282.0500,293.0917
2.9200,78,307.6900,293.0975
2.9250,78,282.0500,293.1050
2.9300,78,307.6900,293.1249
2.9350,78,282.0500,293.1859
2.9400,78,282.0500,293.3175
2.9450,78,307.6900,293.5178
2.9500,78,282.0500,293.7516
2.9550,78,307.6900,293.9810
2.9600,78,282.0500,294.1795
2.9650,78,307.6900,294.3296
2.9700,78,282.0500,294.4210
2.9750,78,307.6900,294.4493
2.9800,78,282.0500,294.4145
2.9850,78,307.6900,294.3217
2.9900,78,282.0500,294.1805
2.9950,78,307.6900,294.0064
3.0000,78,282.0500,293.8220
3.0050,78,307.6900,293.6586
3.0100,78,282.0500,293.5579
3.0150,78,282.0500,293.5576
3.0200,78,307.6900,293.6593
3.0250,78,282.0500,293.8293
3.0300,78,307.6900,294.0294
3.0350,78,282.0500,294.2318
3.0400,78,307.6900,294.4172
3.0450,78,282.0500,294.5726
3.0500,78,307.6900,294.6900
3.0550,78,282.0500,294.7644
3.0600,78,307.6900,294.7928
3.0650,78,282.0500,294.7735
3.0700,78,307.6900,294.7060
3.0750,78,282.0500,294.5908
3.0800,78,307.6900,294.4305
3.0850,78,282.0500,294.2304
3.0900,78,307.6900,294.0008
3.0950,78,282.0500,293.7584
3.1000,78,307.6900,293.5286
3.1050,78,282.0500,293.3482
3.1100,78,282.0500,293.2509
3.1150,78,307.6900,293.2370
3.1200,78,282.0500,293.2744
3.1250,78,307.6900,293.3307
3.1300,78,282.0500,293.3899
3.1350,78,307.6900,293.4512
3.1400,78,282.0500,293.5287
3.1450,78,282.0500,293.6348
3.1500,78,307.6900,293.7466
3.1550,78,307.6900,293.8214
3.1600,78,282.0500,293.8603
3.1650,78,282.0500,293.9075
3.1700,78,307.6900,293.9849
3.1750,78,282.0500,294.0755
3.1800,78,307.6900,294.1553
3.1850,78,282.0500,294.2080
3.1900,78,307.6900,294.2248
3.1950,78,282.0500,294.2039
3.2000,78,307.6900,294.1499
3.2050,78,282.0500,294.0744
3.2100,78,307.6900,293.9963
3.2150,78,282.0500,293.9427
3.2200,78,282.0500,293.9330
3.2250,78,307.6900,293.9474
3.2300,78,307.6900,293.9433
3.2350,78,282.0500,293.9196
3.2400,78,282.0500,293.9168
3.2450,78,307.6900,293.9529
3.2500,78,282.0500,294.0065
3.2550,78,307.6900,294.0496
3.2600,78,282.0500,294.0627
3.2650,78,307.6900,294.0348
3.2700,78,282.0500,293.9633
3.2750,78,307.6900,293.8540
3.2800,78,282.0500,293.7223
